Frame_No,Template_No,x,y,mx,my
120,6,818,434,821.71515,423.1223
121,1,100,237,100.17847,231.60123
121,2,215,226,216.15852,219.86104
121,3,368,194,370.9315,186.904
121,4,675,218,678.43286,209.02582
121,5,1062,48,1058.4888,41.0964
121,6,818,434,821.8725,423.11816
122,1,100,237,99.97962,231.88014
122,2,215,226,216.04988,220.12737
122,3,368,194,370.67084,187.20778
122,4,675,218,678.1259,209.4307
122,5,1062,48,1058.3553,41.088715
122,6,818,434,821.6867,423.5154
123,1,100,237,100.17674,231.67863
123,2,215,226,216.23358,219.92178
123,3,368,194,370.8843,186.96646
123,4,675,218,678.30206,209.21901
123,5,1062,48,1058.3698,41.053284
123,6,818,434,821.61414,423.43896
124,1,100,237,100.16227,231.54175
124,2,215,226,215.99348,219.72398
124,3,368,194,370.6871,186.89284
124,4,675,218,678.08734,209.14098
124,5,1062,48,1057.9698,40.94821
124,6,818,434,821.44366,422.9435
125,1,100,237,100.25996,231.88156
125,2,215,226,216.1653,220.14728
125,3,368,194,370.74078,187.27292
125,4,675,218,678.40063,209.5223
125,5,1062,48,1058.1179,41.340485
125,6,818,434,821.6447,423.318
126,1,100,237,100.3796,231.75607
126,2,215,226,216.41507,219.92035
126,3,368,194,370.97025,186.93295
126,4,675,218,678.3009,209.1555
126,5,1062,48,1058.4203,41.04548
126,6,818,434,821.81915,422.99023
127,1,100,237,100.43377,231.77339
127,2,215,226,216.3617,219.99281
127,3,368,194,370.87888,186.93718
127,4,675,218,678.14276,209.29822
127,5,1062,48,1058.1119,40.814964
127,6,818,434,821.8414,423.06976
128,1,100,237,100.568474,232.66176
128,2,215,226,216.39644,220.7908
128,3,368,194,370.8103,187.66748
128,4,675,218,677.9735,209.46663
